sentence,model_answer
Some trees are perennials,True
No daisies are plants,False
Some humans are not flowers,True
Some birds are chickadees,True
All cattles are cows,False
Some cruisers are not planes,True
Some aircrafts are warships,False
All battleships are warships,True
All birdies are winged animals,True
No flowers are humans,True
No siameses are dogs,True
No cars are sedans,False
Some cats are not felines,False
Some evergreens are not trees,False
No warships are watercrafts,False
No cats are birds,True
No birds are cows,True
Some daisies are plants,True
No humans are mortals,False
Some vehicles are animals,False
No warships are boeings,False
All trees are perennials,True
Some cows are not mammals,False
All warships are aircrafts,False
All pines are evergreens,True
All winged animals are birdies,False
Some birds are birdies,False
All creatures are animals,True
No sedans are vehicles,False
All plants are blossoms,False
No vehicles are animals,True
Some watercrafts are planes,False
Some trees are evergreens,True
Some canines are not dogs,True
All siameses are dogs,False
All canines are labradors,False
Some dogs are pooches,True
Some winged animals are not chickadees,True
Some dogs are not cows,True
All felines are kitties,True
Some cats are not dogs,True
Some mortals are animals,True
Some chickadees are not cows,True
All anguses are mammals,True
Some warships are not cruisers,True
Some mammals are not birds,True
Some anguses are not mammals,False
No plants are daisies,True
Some cats are not birds,True
Some mortals are not cars,True
No animals are flowers,True
All animals are plants,False
All vehicles are sedans,False
No pines are trees,False
No evergreens are flowers,True
No birds are cats,True
All pooches are dogs,True
All mammals are cows,False
Some watercrafts are not cars,True
Some aircrafts are not boeings,True
All birds are cats,False
No chickadees are winged animals,False
Some mortals are not animals,True
All cats are felines,True
Some trees are animals,False
No watercrafts are cars,True
No mammals are birds,True
Some blossoms are plants,True
All airplanes are aircrafts,True
No flowers are plants,False
Some cows are not birds,True
No felines are cats,False
Some boeings are not warships,True
Some evergreens are plants,True
Some warships are cars,False
Some vehicles are cars,True
No felines are siameses,True
Some cows are cattles,False
Some cats are siameses,True
Some planes are not watercrafts,True
All flowers are trees,False
Some daisies are not plants,False
Some cruisers are warships,True
All cars are watercrafts,False
Some felines are kitties,True
Some labradors are not cats,True
Some cattles are mammals,True
Some plants are not flowers,True
All automobiles are vehicles,True
All warships are battleships,False
No cars are vehicles,False
All chickadees are cows,False
All vehicles are cars,False
Some sedans are not cars,False
No trees are animals,True
Some evergreens are flowers,False
No aircrafts are boeings,False
All pines are trees,True
Some flowers are not daisies,True
Some flowers are not animals,True
All canines are cats,False
